subID,gems,bomb,pGems,chose80,chose60,chose40,chose20,it,lr,sticky,rt_mean,rt_tot
00392341,58,40,0.543333333333333,0.344444444444444,0.255555555555556,0.172222222222222,0.227777777777778,1.40090111065007,0.520927036433936,2.28489308917279,329.891666666667,118761
01186019,54,42,0.486666666666667,0.186111111111111,0.319444444444444,0.236111111111111,0.258333333333333,5.22561432604509,0.459665685621766,1.96892906558237,786.591666666667,283173
01591765,49,54,0.512222222222222,0.227777777777778,0.344444444444444,0.188888888888889,0.238888888888889,9.5408760954612,0.348728952977898,0.892900831620771,538.513888888889,193865
02731898,61,51,0.502222222222222,0.227777777777778,0.280555555555556,0.266666666666667,0.225,6.63060810226231,0.692988496078017,1.71063437236582,260.980555555556,93953
03357283,55,31,0.561111111111111,0.388888888888889,0.258333333333333,0.122222222222222,0.230555555555556,3.70019643726692,0.0540861412258598,1.00796744032654,328.627777777778,118306
03842623,50,58,0.477222222222222,0.241666666666667,0.188888888888889,0.283333333333333,0.286111111111111,6.65122678071747,0.490076810648601,2.00043554903779,268.783333333333,96762
03956182,51,56,0.512777777777778,0.266666666666667,0.291666666666667,0.180555555555556,0.261111111111111,16.4214522961638,0.804189356393164,1.35584359710457,555.491666666667,199977
04870262,48,46,0.527222222222222,0.286111111111111,0.277777777777778,0.222222222222222,0.213888888888889,1.19284396515227,0.440079638963302,1.94161354269287,258.811111111111,93172
05294513,65,42,0.573333333333333,0.380555555555556,0.263888888888889,0.197222222222222,0.158333333333333,8.50156753659325,0.508076260163305,2.3476401171833,622.161111111111,223978
05350540,40,50,0.489444444444444,0.202777777777778,0.258333333333333,0.322222222222222,0.216666666666667,4.85733751632811,0.322173838111917,2.50195361308936,539.708333333333,194295
05753215,48,42,0.542777777777778,0.336111111111111,0.241666666666667,0.222222222222222,0.2,5.6980734274851,0.898341933961297,1.69050513724152,216.913888888889,78089
06238679,51,43,0.508888888888889,0.280555555555556,0.244444444444444,0.213888888888889,0.261111111111111,9.0878387090792,0.699496189693591,0.217811345891056,346.405555555556,124706
06597944,67,37,0.548333333333333,0.325,0.291666666666667,0.183333333333333,0.2,3.02284650583656,0.830040912582424,2.50377814572147,512.994444444444,184678
07048356,39,41,0.526111111111111,0.297222222222222,0.225,0.288888888888889,0.188888888888889,3.98146651089108,0.0114185950642581,-0.345464354255906,865.247222222222,311489
07780571,52,46,0.517222222222222,0.297222222222222,0.155555555555556,0.383333333333333,0.163888888888889,4.66786885831588,0.803997999508237,-0.193478026558993,161.505555555556,58142
08157512,39,65,0.455555555555556,0.161111111111111,0.344444444444444,0.105555555555556,0.388888888888889,3.06737578241307,0.83797359604417,0.484763942606968,659.136111111111,237289
08295851,51,47,0.522777777777778,0.336111111111111,0.163888888888889,0.277777777777778,0.222222222222222,3.0262598973057,0.982748764719858,-0.380068960993379,389.875,140355
10882846,47,43,0.512222222222222,0.291666666666667,0.236111111111111,0.213888888888889,0.258333333333333,2.75514048313397,0.545735996381298,1.36330086896593,151.788888888889,54644
